BurstID,Candidate name,Heimdall DM (pc cm^-3),Time width (ms),Frequency width (MHz),Center frequency (GHz),S/N,Fluence (Jy),FETCH models,drift,drift err
B83,./cand_tstart_59873.886188648146_tcand_29.2546000_dm_229.01500_snr_11.83840.h5,229.015,6.144,116,1.298,14.21,2.33,"[0.9171009, 0.99987507, 0.033736646, 0.49908320000000006, 0.09937945, 0.9990073, 0.8429296000000001, 0.99910223]",,
B84,./cand_tstart_59873.886188648146_tcand_47.9475000_dm_235.30500_snr_7.21627.h5,235.305,7.936,140,1.67,9.502,1.533,"[2.34e-05, 1.29e-05, 6.78e-07, 3.21e-05, 0.000265086, 2.8199999999999998e-08, 7.89e-08, 3.35e-08]",,
B85,./cand_tstart_59873.886188648146_tcand_75.2608000_dm_218.90300_snr_13.16040.h5,218.903,16.896,240,1.37,16.824,2.801,"[0.05298335, 0.00107861, 0.000301881, 4.07e-06, 1.1900000000000001e-05, 9.92e-06, 3.14e-06, 1.22e-12]",,
B86,./cand_tstart_59873.887577537040_tcand_32.086432_dm_226.95600_snr_27.99880.h5,226.956,14.56,244,1.366,7.793,1.192,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B87,./cand_tstart_59873.887577537040_tcand_32.1296000_dm_226.95600_snr_27.99880.h5,226.956,4.608,308,1.442,32.462,2.568,"[1.0, 1.0, 1.0, 0.9999815000000001, 1.0, 1.0, 0.9993721999999999, 0.99999976]",,
B88,./cand_tstart_59873.888966425926_tcand_43.6493000_dm_222.94000_snr_23.75490.h5,222.94,8.192,156,1.318,35.081,5.325,"[0.43541047, 0.99995434, 0.9347078999999999, 0.28554866, 0.04175294, 0.99941766, 0.5795913, 0.95038515]",,
B89,./cand_tstart_59873.891176203695_tcand_111.7780000_dm_229.01500_snr_21.87650.h5,229.015,6.144,236,1.586,24.273,2.703,"[1.0, 1.0, 1.0, 0.99981934, 1.0, 1.0, 0.9999229, 1.0]",,
B90,./cand_tstart_59873.891176203695_tcand_52.1624000_dm_227.01100_snr_68.86500.h5,227.011,9.728,228,1.398,103.231,9.149,"[0.74791473, 1.0, 0.9999995, 0.92170656, 0.17642026, 1.0, 0.999524, 0.99977404]",,
B91,./cand_tstart_59873.891176203695_tcand_78.2701000_dm_222.89300_snr_25.63610.h5,222.893,14.848,296,1.43,33.477,4.794,"[0.007393889, 0.9272440999999999, 0.00064542, 0.0010383810000000001, 0.0001123, 0.08070695, 0.000580406, 6.759999999999999e-09]",,
B92,./cand_tstart_59873.892565092588_tcand_59.4214000_dm_216.93500_snr_9.42778.h5,216.935,6.144,180,1.398,12.39,1.33,"[0.9999627000000001, 0.055904199999999994, 0.99981254, 0.9987087, 0.99999976, 0.98062575, 0.010765442, 1.0]",,
B93,./cand_tstart_59873.895342870368_tcand_104.2750000_dm_229.01500_snr_49.87620.h5,229.015,8.704,464,1.458,53.801,4.98,"[0.98161846, 1.0, 0.99957186, 0.9293347, 0.012601528, 0.99999976, 0.98312736, 0.9996718000000001]",,
B94,./cand_tstart_59873.895342870368_tcand_108.5010000_dm_233.18900_snr_14.86870.h5,233.189,5.12,124,1.678,24.143,3.428,"[0.9999700999999999, 1.0, 0.9998535, 0.99710494, 0.99997115, 0.9991405000000001, 0.99991465, 0.99906105]",,
B95,./cand_tstart_59873.895342870368_tcand_89.2673000_dm_229.01500_snr_18.55810.h5,229.015,7.68,288,1.43,22.507,2.339,"[0.9970983, 1.0, 0.9737394, 0.12587796, 0.0027678459999999996, 1.0, 0.9573997, 0.99985445]",,
B96,./cand_tstart_59874.849745370368_tcand_92.3244000_dm_226.95700_snr_20.82780.h5,226.957,12.8,320,1.486,15.764,2.115,"[2.2999999999999998e-08, 0.016365893, 0.000106632, 1.43e-07, 7.03e-06, 6.67e-09, 1.09e-05, 2.46e-10]",,
B97,./cand_tstart_59874.853912037033_tcand_50.2370000_dm_222.89400_snr_11.76930.h5,222.894,4.096,252,1.534,17.658,1.495,"[1.0, 1.0, 1.0, 0.9962521000000001, 1.0, 1.0, 0.99989974, 1.0]",,
B98,./cand_tstart_59874.853912037033_tcand_77.3817000_dm_224.91600_snr_13.17250.h5,224.916,7.68,168,1.31,23.732,3.691,"[0.94268703, 0.9999503000000001, 0.12658347, 0.014061665, 0.022696795, 0.964299, 0.21089698, 0.005778389]",,
B99,./cand_tstart_59874.853912037033_tcand_96.1816000_dm_224.91600_snr_29.43210.h5,224.916,8.96,384,1.466,30.939,3.128,"[0.99936, 1.0, 0.9758454, 0.31326859999999995, 0.001153378, 1.0, 0.99864835, 0.9999870000000001]",,
B100,./cand_tstart_59874.855300925927_tcand_112.5100000_dm_226.95700_snr_14.82620.h5,226.957,5.376,288,1.594,13.043,1.225,"[0.05561476, 0.004666455999999999, 0.0018102970000000002, 0.000821186, 0.00018408400000000002, 3.21e-06, 1.42e-05, 0.9500671]",,
B101,./cand_tstart_59874.855300925927_tcand_33.5253000_dm_224.91600_snr_13.34530.h5,224.916,8.704,352,1.474,17.36,1.825,"[0.9995472, 0.99999964, 0.9789595999999999, 0.56444144, 0.13957796, 0.99975854, 0.5956031999999999, 0.99962413]",,
B102,./cand_tstart_59874.855300925927_tcand_37.3771000_dm_226.95700_snr_52.50690.h5,226.957,10.72,348,1.562,51.595,6.069,"[0.99988437, 1.0, 1.0, 0.99984705, 0.9999998999999999, 1.0, 1.0, 1.0]",,
B103,./cand_tstart_59874.855300925927_tcand_37.389692_dm_226.95700_snr_52.50690.h5,226.957,9.92,344,1.562,33.781,3.854,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
