BurstID,Candidate name,Heimdall DM (pc cm^-3),Time width (ms),Frequency width (MHz),Center frequency (GHz),S/N,Fluence (Jy),FETCH models,drift,drift err
B209,./cand_tstart_59877.850138888891_tcand_56.5856000_dm_233.18900_snr_11.44410.h5,233.189,6.656,340,1.57,11.338,0.995,"[0.68314034, 0.97035676, 0.03393279, 0.001440718, 0.001810935, 0.9966535, 0.0016571160000000001, 0.9982065999999999]",,
B210,./cand_tstart_59877.850138888891_tcand_69.0716000_dm_227.01100_snr_15.25620.h5,227.011,7.168,232,1.354,20.254,2.244,"[1.0, 1.0, 1.0, 0.9966344000000001, 1.0, 0.99999976, 0.9986333000000001, 1.0]",,
B211,./cand_tstart_59877.850138888891_tcand_82.4957000_dm_222.89300_snr_12.03620.h5,222.893,3.072,108,1.294,18.946,2.196,"[0.99996984, 0.9843030999999999, 0.9999752000000001, 0.99998224, 0.9999876, 0.99997354, 0.9602242, 1.0]",,
B212,./cand_tstart_59877.852916666670_tcand_2.7994900_dm_222.89300_snr_13.73040.h5,222.893,2.56,272,1.602,18.331,1.2,"[1.0, 1.0, 1.0, 0.99984515, 1.0, 2.2100000000000003e-11, 0.99312556, 1.0]",,
B213,./cand_tstart_59877.852916666670_tcand_24.9039000_dm_233.18900_snr_7.23705.h5,233.189,3.072,264,1.378,10.178,0.688,"[0.99984574, 0.99877423, 0.99980384, 0.99865437, 0.9999986999999999, 0.9999546999999999, 0.30148104, 1.0]",,
B214,./cand_tstart_59877.852916666670_tcand_79.0473000_dm_233.18900_snr_11.10170.h5,233.189,8.448,332,1.406,11.995,1.253,"[0.76294667, 0.99993384, 0.08761106, 0.52544093, 0.008593591, 0.8025515999999999, 0.30446259999999997, 0.751931]",,
B215,./cand_tstart_59877.854305555556_tcand_3.0296300_dm_235.37500_snr_14.19890.h5,235.375,9.984,372,1.554,9.901,1.027,"[0.000877431, 0.000797792, 1.08e-06, 3.06e-06, 0.00015696299999999998, 2.1e-08, 8.660000000000001e-08, 2.38e-10]",,
B216,./cand_tstart_59877.854305555556_tcand_39.7709000_dm_231.15500_snr_16.66940.h5,231.155,5.632,336,1.554,17.45,1.441,"[0.9702093, 0.99999833, 0.30610338, 0.33071175, 0.063990936, 0.99998593, 0.91348565, 0.99987113]",,
B217,./cand_tstart_59877.854305555556_tcand_39.856404_dm_231.15500_snr_16.66940.h5,231.155,12.96,152,1.31,8.722,1.837,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B218,./cand_tstart_59877.855126444447_tcand_100.0370000_dm_226.95600_snr_15.72660.h5,226.956,5.12,400,1.51,15.537,1.11,"[1.0, 0.99999356, 1.0, 0.9990313, 1.0, 1.0, 0.99968624, 1.0]",,
B219,./cand_tstart_59877.855126444447_tcand_20.1416000_dm_235.37500_snr_18.43960.h5,235.375,7.68,96,1.286,16.063,3.03,"[0.013075996000000001, 0.0013613639999999999, 1.53e-06, 0.0005025790000000001, 2.23e-06, 2.99e-09, 1.27e-08, 1.98e-08]",,
B220,./cand_tstart_59877.855126444447_tcand_33.1790000_dm_224.96600_snr_14.85530.h5,224.966,4.608,208,1.534,13.407,1.261,"[1.0, 0.9999939, 1.0, 0.99984074, 1.0, 1.0, 0.9807395000000001, 1.0]",,
B221,./cand_tstart_59877.855126444447_tcand_94.4873000_dm_237.43900_snr_14.49180.h5,237.439,18.176,344,1.466,13.856,1.996,"[2.39e-06, 0.21015949999999997, 1.36e-05, 0.0006818130000000001, 0.000279633, 0.0036401109999999997, 2.0300000000000002e-05, 5.27e-07]",,
B222,./cand_tstart_59877.856515333333_tcand_1.7903400_dm_229.01500_snr_8.76612.h5,229.015,7.936,80,1.278,17.785,3.899,"[0.019867407, 0.92691433, 0.000611568, 0.000421661, 0.000895515, 0.9915964, 0.036031704, 9.97e-05]",,
B223,./cand_tstart_59877.859293111112_tcand_38.5299000_dm_226.95600_snr_15.50870.h5,226.956,7.872,224,1.35,21.214,2.577,"[0.54656595, 0.99999404, 0.03433075, 0.15054792, 0.02816478, 0.9997084999999999, 0.41321874, 0.9906328000000001]",,
B224,./cand_tstart_59877.859293111112_tcand_94.6769000_dm_227.01100_snr_36.00650.h5,227.011,6.4,216,1.346,51.85,5.82,"[0.89489645, 1.0, 0.9999988000000001, 0.8884966000000001, 0.15316594, 1.0, 0.9952238000000001, 0.9999143]",,
B225,./cand_tstart_59877.860682000006_tcand_99.3429000_dm_224.91600_snr_18.59430.h5,224.916,4.608,308,1.382,23.598,1.851,"[1.0, 1.0, 1.0, 0.9999621999999999, 1.0, 1.0, 0.99996936, 1.0]",,
B226,./cand_tstart_59877.862070888892_tcand_12.5224000_dm_215.01600_snr_47.28660.h5,215.016,5.136,444,1.462,358.274,135.163,"[0.9953530999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,
B227,./cand_tstart_59877.862070888892_tcand_57.1200000_dm_241.76700_snr_14.61150.h5,241.767,12.8,176,1.394,11.798,1.897,"[0.002903847, 0.92273045, 0.000234406, 5.34e-07, 5.08e-05, 4.5299999999999997e-05, 0.001780501, 1.71e-10]",,
B228,./cand_tstart_59877.862070888892_tcand_67.06119199999999_dm_218.90300_snr_17.43990.h5,218.903,22.08,112,1.294,9.129,3.009,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B229,./cand_tstart_59877.862070888892_tcand_67.0662000_dm_218.90300_snr_17.43990.h5,218.903,5.632,264,1.57,25.349,2.462,"[1.0, 1.0, 1.0, 0.99999726, 1.0, 1.0, 0.99999607, 1.0]",,
B230,./cand_tstart_59877.862891777775_tcand_113.4680000_dm_224.91600_snr_10.29020.h5,224.916,7.68,328,1.402,11.911,1.186,"[0.935164, 0.9117071, 0.023637462, 0.1536375, 0.04433445, 0.9986879000000001, 0.00519353, 0.9946516]",,
B231,./cand_tstart_59877.862891777775_tcand_12.1287000_dm_213.05200_snr_11.02650.h5,213.052,10.496,444,1.518,11.053,1.077,"[0.005310878000000001, 0.000142011, 3.51e-06, 0.000191812, 6.890000000000001e-05, 2.4899999999999997e-10, 7.159999999999999e-07, 2.27e-08]",,
B232,./cand_tstart_59877.862891777775_tcand_43.3107000_dm_229.01500_snr_7.95366.h5,229.015,9.472,348,1.53,8.55,0.902,"[0.012945802, 0.026454536, 0.000411584, 0.000416332, 0.000212119, 0.000262998, 1.68e-06, 3.11e-06]",,
B233,./cand_tstart_59877.864280666661_tcand_116.5700000_dm_220.88900_snr_13.43910.h5,220.889,6.4,384,1.51,17.434,1.49,"[0.013054733999999998, 0.050619915, 0.001372948, 2.75e-05, 8.01e-06, 3e-06, 1.18e-05, 0.078835405]",,
B234,./cand_tstart_59877.864280666661_tcand_38.3052000_dm_235.37500_snr_16.67190.h5,235.375,10.496,252,1.366,22.518,2.867,"[0.5874943, 0.9785164000000001, 0.023830447, 0.040659457, 0.006040879, 0.84008884, 0.23887256, 0.99888784]",,
B235,./cand_tstart_59877.864280666661_tcand_92.8634000_dm_229.07300_snr_7.20826.h5,229.073,3.072,184,1.442,8.768,0.658,"[0.9998275, 0.001486374, 0.999992, 0.9940351999999999, 0.9999527, 0.32701734, 0.000511331, 0.99999154]",,
B236,./cand_tstart_59877.867058444441_tcand_117.4570000_dm_231.09300_snr_33.91720.h5,231.093,7.168,360,1.426,33.399,3.136,"[0.7719295, 0.99999976, 0.99923134, 0.35586867, 0.0358199, 0.9999645, 0.9854407, 0.9992105]",,
B237,./cand_tstart_59877.867058444441_tcand_70.6861000_dm_222.94000_snr_14.98500.h5,222.94,5.888,216,1.458,21.063,2.162,"[0.99999917, 1.0, 1.0, 0.9996815999999998, 0.9999998999999999, 1.0, 0.9948125, 1.0]",,
B238,./cand_tstart_59877.868447333334_tcand_94.6430000_dm_229.01500_snr_16.37450.h5,229.015,6.4,204,1.502,17.936,1.988,"[0.9115302, 0.9972019, 0.8861929000000001, 0.115771584, 0.054381399999999996, 0.99589586, 0.3760308, 0.9999466]",,
B239,./cand_tstart_59877.870657111111_tcand_0.8052480_dm_224.91600_snr_7.91863.h5,224.916,6.144,304,1.578,8.133,0.777,"[0.9995702, 0.050905857, 0.99997973, 0.99985254, 0.9999993, 0.65621835, 0.00018465900000000002, 1.0]",,
B240,./cand_tstart_59877.873434888890_tcand_27.8988000_dm_222.94000_snr_16.98300.h5,222.94,2.816,124,1.39,25.297,2.336,"[1.0, 0.9997118, 1.0, 0.9987244000000001, 1.0, 0.9999998999999999, 0.9999976, 1.0]",,
B241,./cand_tstart_59877.873434888890_tcand_33.8279000_dm_211.13700_snr_8.15036.h5,211.137,9.216,280,1.458,10.447,1.211,"[0.5197447000000001, 0.84827733, 0.002674906, 0.22970241, 0.012702868, 0.9578219000000001, 0.002889328, 1.57e-05]",,
B242,./cand_tstart_59877.873434888890_tcand_86.841464_dm_220.88900_snr_24.82890.h5,220.889,24.48,220,1.494,9.734,2.037,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B243,./cand_tstart_59877.873434888890_tcand_86.8686000_dm_220.88900_snr_24.82890.h5,220.889,9.984,276,1.386,30.49,3.613,"[0.83795506, 1.0, 0.11919993, 0.31910402, 0.34606013, 1.0, 0.958082, 0.99894077]",,
B244,./cand_tstart_59877.874823777776_tcand_52.5404000_dm_226.95600_snr_11.77620.h5,226.956,7.936,216,1.346,16.557,1.996,"[0.8107289000000001, 0.9901506, 0.013848611, 0.24542835, 0.001227312, 0.9546073, 0.11840830000000001, 0.99971324]",,
B245,./cand_tstart_59877.874823777776_tcand_54.5762000_dm_222.89300_snr_7.83245.h5,222.893,3.84,192,1.342,9.793,0.885,"[0.9999336, 0.17731772, 0.99983084, 0.9999726999999999, 0.99999845, 0.99480385, 0.045574408, 1.0]",,
B246,./cand_tstart_59877.874823777776_tcand_65.1854000_dm_222.89300_snr_57.52520.h5,222.893,17.728,344,1.566,61.809,9.058,"[0.174402, 0.999808, 0.075655885, 0.003998677, 0.000130547, 0.347628, 0.051025953, 0.13601329999999998]",,
B247,./cand_tstart_59877.876212666670_tcand_11.0955000_dm_224.91600_snr_23.00620.h5,224.916,8.384,276,1.378,26.671,2.821,"[0.8890563, 1.0, 0.97535604, 0.6923108, 0.056086205, 1.0, 0.97919273, 0.9995306999999999]",,
B248,./cand_tstart_59877.876212666670_tcand_36.1966000_dm_229.01500_snr_18.85970.h5,229.015,15.616,320,1.406,18.732,2.638,"[0.004468354, 0.7973779999999999, 4.6200000000000005e-05, 0.012170543, 0.000651605, 0.8685574, 0.07915944, 8.269999999999999e-08]",,
B249,./cand_tstart_59877.876212666670_tcand_4.4524500_dm_226.95600_snr_38.65430.h5,226.956,7.936,200,1.346,55.433,6.928,"[0.7099711, 0.99999774, 0.9999473, 0.9253232, 0.7593264, 1.0, 0.9774489, 0.9998832000000001]",,
B250,./cand_tstart_59877.876212666670_tcand_69.2728000_dm_226.95600_snr_12.52950.h5,226.956,8.96,232,1.498,15.953,1.895,"[0.042317044000000005, 0.25911194, 0.000271126, 5.8399999999999997e-05, 1.57e-06, 5.39e-05, 0.000256792, 0.64975685]",,
B251,./cand_tstart_59877.876212666670_tcand_88.5907000_dm_224.91600_snr_7.66554.h5,224.916,7.936,128,1.302,10.09,1.7,"[0.016824426, 0.16960427, 7.36e-06, 3.4899999999999995e-05, 0.0029047929999999997, 0.29905656, 0.000566641, 7.47e-07]",,
B252,./cand_tstart_59877.877601555556_tcand_20.3173000_dm_231.09300_snr_43.50060.h5,231.093,7.68,332,1.518,42.822,4.264,"[0.8098693, 1.0, 0.99990535, 0.9556300999999999, 0.013775663, 1.0, 0.9988398, 0.99447215]",,
B253,./cand_tstart_59877.877601555556_tcand_26.7952000_dm_229.01500_snr_47.73120.h5,229.015,6.144,292,1.554,55.964,5.347,"[0.7288892, 1.0, 0.996323, 0.9505324, 0.001199271, 0.99999976, 0.9990965, 0.9990766999999999]",,
B254,./cand_tstart_59877.877601555556_tcand_45.7989000_dm_231.09300_snr_22.84490.h5,231.093,8.704,92,1.286,39.406,7.912,"[0.7735479999999999, 0.99999976, 0.7629016, 0.5205443000000001, 0.020728991999999998, 0.99996567, 0.46413276, 0.99997485]",,
B255,./cand_tstart_59877.878422444446_tcand_104.2580000_dm_222.89300_snr_10.50320.h5,222.893,12.8,128,1.302,12.498,2.561,"[0.8514016999999999, 0.98447305, 0.006466874, 0.33974943, 0.001219055, 0.9999844999999999, 0.06583979, 0.99979347]",,
B256,./cand_tstart_59877.878422444446_tcand_39.7595000_dm_226.95600_snr_8.75910.h5,226.956,11.008,376,1.522,9.161,1.019,"[0.87350535, 0.98114234, 0.04122322, 0.2655381, 0.0008816130000000001, 0.98512924, 0.00012381, 0.99999464]",,
B257,./cand_tstart_59877.878422444446_tcand_42.1760000_dm_220.93200_snr_32.12840.h5,220.932,11.968,416,1.49,35.913,3.898,"[0.004842633, 0.99493766, 0.002648647, 0.27994093, 0.00113972, 0.97931975, 0.30797800000000003, 2.6e-07]",,
B258,./cand_tstart_59877.878422444446_tcand_96.0947000_dm_218.90300_snr_26.68830.h5,218.903,8.192,96,1.286,47.392,8.511,"[0.62309146, 0.675592, 0.24079639, 0.016418863, 0.030607881, 0.15607217, 0.07051264, 0.5299656]",,
B259,./cand_tstart_59877.878422444446_tcand_96.1176000_dm_200.00000_snr_15.55940.h5,200,10.24,88,1.29,37.524,7.942,"[0.015418571, 0.0009697210000000001, 0.001655101, 1.3300000000000001e-05, 0.00212644, 0.0006939489999999999, 0.061268333, 3.2499999999999997e-12]",,
B260,./cand_tstart_59877.879811333332_tcand_17.3433000_dm_229.01500_snr_8.81925.h5,229.015,7.68,336,1.434,11.22,1.05,"[0.0005154819999999999, 2.8e-06, 1.8e-05, 0.00018382900000000002, 0.00041040099999999996, 1.64e-10, 1.82e-07, 0.5124183]",,
B261,./cand_tstart_59877.879811333332_tcand_2.9203200_dm_226.95600_snr_13.75920.h5,226.956,12.8,272,1.602,23.336,3.347,"[1.0, 1.0, 1.0, 0.9995622, 1.0, 1.0, 0.93008256, 1.0]",,
B262,./cand_tstart_59877.879811333332_tcand_64.7231000_dm_224.96600_snr_17.75100.h5,224.966,5.376,256,1.366,24.37,2.138,"[0.9999998999999999, 1.0, 1.0, 0.9996025, 1.0, 1.0, 0.9869135, 1.0]",,
B263,./cand_tstart_59877.879811333332_tcand_90.7053000_dm_224.96600_snr_8.31699.h5,224.966,2.816,260,1.582,10.101,0.694,"[0.9987997, 0.005541371, 0.99991596, 0.6703473000000001, 0.9975318999999999, 0.8581274, 0.12855907, 1.0]",,
B264,./cand_tstart_59877.881200222226_tcand_118.1400000_dm_226.95600_snr_20.37430.h5,226.956,4.096,324,1.578,20.081,1.448,"[1.0, 1.0, 1.0, 0.99972206, 1.0, 1.0, 0.99976224, 1.0]",,
B265,./cand_tstart_59877.881200222226_tcand_19.2014000_dm_233.18900_snr_18.27120.h5,233.189,16.128,512,1.482,18.971,2.16,"[0.000685767, 0.17400122, 1.21e-05, 7.7e-05, 2.8199999999999998e-05, 2.18e-05, 2.12e-07, 2.3899999999999998e-05]",,
B266,./cand_tstart_59877.881200222226_tcand_54.0816000_dm_220.88900_snr_45.98160.h5,220.889,7.424,212,1.374,72.638,8.016,"[0.8711155999999999, 0.9999958000000001, 0.42841769999999996, 0.513354, 0.018428104, 0.999948, 0.74957997, 0.9927712]",,
B267,./cand_tstart_59877.882589111112_tcand_37.7401000_dm_226.95600_snr_177.46900.h5,226.956,7.648,504,1.486,194.115,17.709,"[0.8484709999999999, 1.0, 0.99986625, 0.987025, 0.00428121, 0.99991393, 0.9999998999999999, 0.9999640999999999]",,
B268,./cand_tstart_59877.882589111112_tcand_5.5978200_dm_224.96600_snr_36.48430.h5,224.966,4.864,332,1.574,45.483,3.491,"[0.9999788000000001, 1.0, 1.0, 0.99999857, 1.0, 1.0, 0.9999998999999999, 0.9999998999999999]",,
B269,./cand_tstart_59877.883978000005_tcand_31.4789000_dm_224.91600_snr_15.46050.h5,224.916,14.08,344,1.458,18.819,2.403,"[0.99761355, 0.99999976, 0.59331834, 0.12950881, 0.001801447, 0.99999905, 0.86135864, 0.9491925999999999]",,
B270,./cand_tstart_59877.883978000005_tcand_36.6996000_dm_229.01500_snr_8.47528.h5,229.015,5.12,68,1.63,7.502,1.273,"[0.9228734000000001, 0.017843615, 0.025229445, 0.004112555, 0.00866035, 0.75485545, 0.109063044, 0.9993618000000001]",,
B271,./cand_tstart_59877.886187777774_tcand_6.7209900_dm_233.18900_snr_20.64590.h5,233.189,7.936,352,1.562,23.306,2.268,"[0.7486689000000001, 0.15807441, 0.7417375, 0.000141036, 0.000153971, 0.41167170000000003, 0.0022404729999999998, 0.9962219000000001]",,
B272,./cand_tstart_59878.837314814817_tcand_20.8152000_dm_231.09300_snr_14.14170.h5,231.093,7.68,308,1.586,17.36,1.82,"[0.7318352, 0.47732714, 0.003055827, 0.002510334, 0.00139971, 0.000133134, 3.13e-06, 0.94763863]",,
B273,./cand_tstart_59878.837314814817_tcand_66.9327000_dm_239.59400_snr_8.66097.h5,239.594,17.152,196,1.338,8.799,1.728,"[0.000174687, 0.02911532, 1.52e-05, 2.95e-06, 9.71e-06, 9.25e-08, 5.34e-07, 8.08e-06]",,
B274,./cand_tstart_59878.838703703703_tcand_33.8222000_dm_226.95600_snr_23.64090.h5,226.956,9.984,156,1.318,36.142,6.409,"[0.86079854, 0.9996358, 0.928306, 0.27508140000000003, 0.08186583, 0.99999917, 0.69895643, 0.991282]",,
B275,./cand_tstart_59878.838703703703_tcand_36.3874000_dm_226.95600_snr_17.10200.h5,226.956,8.192,280,1.562,18.78,2.112,"[0.9881954, 0.99995065, 0.99804014, 0.99969864, 0.99990153, 0.9999559000000001, 0.8977619000000001, 0.9996289]",,
B276,./cand_tstart_59878.838703703703_tcand_36.468984_dm_226.95600_snr_17.10200.h5,226.956,11.52,328,1.402,7.785,0.965,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B277,./cand_tstart_59878.838703703703_tcand_77.8361000_dm_209.23800_snr_10.61620.h5,209.238,21.76,148,1.314,17.484,4.772,"[5.24e-07, 0.000110188, 0.0019069620000000001, 3.15e-05, 0.000239377, 3.08e-09, 1.54e-06, 1.65e-08]",,
B278,./cand_tstart_59878.840092592596_tcand_26.2914000_dm_224.91600_snr_25.60330.h5,224.916,5.12,348,1.414,30.743,2.44,"[0.9360094999999999, 0.99999976, 0.9997917, 0.91821194, 0.15632983, 0.9999938, 0.9593815999999998, 0.9965951999999999]",,
B279,./cand_tstart_59878.840092592596_tcand_37.0866000_dm_235.37500_snr_15.66520.h5,235.375,14.848,204,1.638,13.764,2.631,"[0.00010195299999999999, 0.001389922, 1.53e-05, 7.26e-05, 0.0013102539999999998, 0.001820363, 7.89e-06, 1.32e-06]",,
B280,./cand_tstart_59878.841481481482_tcand_104.0410000_dm_224.91600_snr_12.17730.h5,224.916,4.864,216,1.554,13.777,1.383,"[0.99999964, 0.9999963, 0.99999976, 0.99994314, 0.9999998999999999, 0.99999845, 0.6906536999999999, 1.0]",,
B281,./cand_tstart_59878.841481481482_tcand_40.6186000_dm_250.66100_snr_12.87610.h5,250.661,9.984,124,1.594,10.138,2.247,"[2.6e-08, 5.0900000000000004e-05, 1.9399999999999997e-05, 8.199999999999999e-08, 1.76e-11, 1.14e-07, 4.67e-08, 9.24e-12]",,
B282,./cand_tstart_59878.842870370376_tcand_25.8636000_dm_231.09300_snr_9.16218.h5,231.093,6.912,240,1.374,11.279,1.201,"[0.052703257999999996, 0.6862307, 0.000588401, 0.008905726, 0.001390258, 0.08667199, 0.01359696, 0.96008873]",,
B283,./cand_tstart_59878.845080148152_tcand_104.8230000_dm_229.07300_snr_41.37630.h5,229.073,6.4,264,1.606,54.494,5.767,"[0.72369295, 1.0, 0.6007238, 0.15414546, 0.007331201999999999, 0.99999845, 0.9231434999999999, 0.99924386]",,
B284,./cand_tstart_59878.845080148152_tcand_21.8962000_dm_226.95600_snr_10.17510.h5,226.956,6.912,216,1.63,12.6,1.618,"[2.31e-06, 0.014197037, 6.77e-06, 0.000207953, 0.0014071670000000002, 0.47840244, 0.000141295, 0.02860975]",,
B285,./cand_tstart_59878.846469037038_tcand_20.7183000_dm_224.91600_snr_11.90560.h5,224.916,6.144,280,1.378,16.095,1.483,"[0.9999998999999999, 0.9992768, 0.9999998999999999, 0.99927264, 1.0, 1.0, 0.9983407, 1.0]",,
B286,./cand_tstart_59878.846469037038_tcand_58.7870000_dm_222.89300_snr_11.52740.h5,222.893,6.144,216,1.63,12.977,1.571,"[0.017671146999999998, 0.00023511400000000003, 0.005366286, 0.000266056, 0.0014028439999999999, 0.09741801, 0.0005593919999999999, 3.13e-06]",,
B287,./cand_tstart_59878.847857925932_tcand_0.9392640_dm_226.95600_snr_28.89070.h5,226.956,19.968,152,1.322,39.581,9.734,"[0.023340154, 0.9998271000000001, 0.0035766759999999996, 0.02432588, 0.019134684, 0.52321535, 0.22080031, 8.63e-12]",,
B288,./cand_tstart_59878.847857925932_tcand_24.8139000_dm_235.30500_snr_9.49731.h5,235.305,11.52,324,1.418,9.445,1.181,"[0.00020732599999999997, 0.00140571, 4.6500000000000005e-05, 5.19e-06, 1.93e-05, 0.000632941, 0.004458839, 3.76e-09]",,
B289,./cand_tstart_59878.847857925932_tcand_24.8302000_dm_216.93500_snr_12.66440.h5,216.935,6.4,260,1.45,14.889,1.526,"[0.7708885, 0.97609836, 0.0014349010000000001, 0.29836409999999997, 0.018317802, 0.9976794, 0.17183638, 0.99999845]",,
B290,./cand_tstart_59878.847857925932_tcand_51.7381000_dm_226.95600_snr_15.43410.h5,226.956,11.264,88,1.29,26.064,6.136,"[0.8178489999999999, 0.9999703000000001, 0.10132603, 0.0070202, 0.0037486570000000003, 0.9278481, 0.41361424, 0.7980738]",,
B291,./cand_tstart_59878.847857925932_tcand_57.8297000_dm_237.43900_snr_10.82190.h5,237.439,6.656,216,1.538,10.695,1.224,"[0.5830803000000001, 0.9922131, 0.0018556529999999999, 0.08826774, 0.009777923, 0.9990785, 0.38763782, 0.9943156999999999]",,
B292,./cand_tstart_59878.847857925932_tcand_70.7699000_dm_226.95600_snr_21.78800.h5,226.956,5.12,284,1.582,23.802,2.096,"[0.90300876, 0.95619786, 0.999866, 0.6853397, 0.9998135, 0.97158235, 0.99240184, 0.99981123]",,
B293,./cand_tstart_59878.849246814818_tcand_44.0960000_dm_235.30500_snr_9.02539.h5,235.305,7.68,232,1.594,10.313,1.284,"[0.6461283, 0.03413666, 0.007909386, 0.2971815, 0.024611222999999998, 0.80599713, 1.22e-05, 0.99982136]",,
B294,./cand_tstart_59878.850635703711_tcand_45.4617000_dm_222.89300_snr_9.10826.h5,222.893,6.912,148,1.37,13.069,1.76,"[0.09126712, 0.15900272, 0.039111808, 0.001166273, 0.01026664, 0.9395256, 0.042328224000000005, 0.8766084000000001]",,
B295,./cand_tstart_59878.852024592597_tcand_21.1630000_dm_222.89300_snr_12.87330.h5,222.893,4.096,212,1.354,16.045,1.54,"[0.9999998999999999, 0.9999998999999999, 1.0, 0.9998778, 1.0, 1.0, 0.99946934, 1.0]",,
B296,./cand_tstart_59878.852024592597_tcand_3.5539200_dm_231.09300_snr_42.30130.h5,231.093,9.28,268,1.374,55.243,6.746,"[0.6473225, 1.0, 0.99790895, 0.75203294, 0.19230513, 1.0, 0.99993026, 0.8715921999999998]",,
B297,./cand_tstart_59878.852845481480_tcand_14.5148000_dm_224.91600_snr_9.71450.h5,224.916,4.608,296,1.574,13.007,1.038,"[0.9999998999999999, 0.95102745, 0.9999982, 0.9998344000000001, 0.9999998999999999, 0.99999964, 0.27352017, 1.0]",,
B298,./cand_tstart_59878.852845481480_tcand_25.2986000_dm_220.93200_snr_53.25790.h5,220.932,12.448,272,1.382,79.09,10.756,"[0.005787621999999999, 0.7463550999999999, 0.023192648, 0.42971313, 0.021472288, 0.23578809999999997, 0.06407518, 7.45e-09]",,
B299,./cand_tstart_59878.855623259260_tcand_37.9372000_dm_218.90300_snr_17.16500.h5,218.903,2.816,296,1.59,20.44,1.31,"[1.0, 0.9995561, 1.0, 0.9997081, 1.0, 0.9999986999999999, 0.9942667, 1.0]",,
B300,./cand_tstart_59878.855623259260_tcand_70.9515000_dm_250.66100_snr_8.98354.h5,250.661,19.712,388,1.546,18.508,2.68,"[0.00298474, 0.000372271, 4.48e-06, 2.23e-05, 3.72e-05, 2.35e-06, 0.00011345, 8.49e-09]",,
B301,./cand_tstart_59878.855623259260_tcand_70.9692000_dm_226.95600_snr_18.43550.h5,226.956,7.936,292,1.558,21.178,2.278,"[0.96329117, 0.99999774, 0.2677128, 0.33418107, 0.003460252, 0.99997854, 0.8338829, 0.99919754]",,
B302,./cand_tstart_59878.858401037040_tcand_55.7546000_dm_224.91600_snr_15.67750.h5,224.916,10.24,296,1.446,17.941,2.115,"[0.00016579099999999999, 0.00046195199999999996, 4.78e-07, 4.45e-06, 3.88e-07, 9.37e-08, 2.23e-08, 1.6799999999999998e-08]",,
B303,./cand_tstart_59878.858401037040_tcand_91.8782000_dm_226.95600_snr_18.76710.h5,226.956,8.704,212,1.458,26.063,3.329,"[0.80381346, 0.99999833, 0.11999006, 0.20899898, 0.01038851, 0.99998236, 0.63997006, 0.99997187]",,
B304,./cand_tstart_59878.858401037040_tcand_94.9821000_dm_220.88900_snr_17.98720.h5,220.889,6.656,188,1.47,27.547,3.235,"[0.5641111999999999, 0.9999181, 0.01338737, 0.061159063, 0.000794355, 0.96498626, 0.7140228, 0.93889344]",,
B305,./cand_tstart_59878.860610814816_tcand_12.4341000_dm_229.01500_snr_14.37470.h5,229.015,26.624,212,1.362,23.098,5.16,"[0.006379676999999999, 0.9122290000000001, 0.0006617239999999999, 0.005987261999999999, 0.0035170970000000003, 0.1607461, 0.07308205, 1.93e-08]",,
B306,./cand_tstart_59878.860610814816_tcand_5.4276800_dm_222.89300_snr_9.26820.h5,222.893,3.328,172,1.654,9.596,0.868,"[0.9990361999999999, 0.9992009, 0.9996588, 0.34786090000000003, 0.99879587, 0.7079444, 0.18671206, 1.0]",,
B307,./cand_tstart_59878.861999703702_tcand_112.3730000_dm_224.91600_snr_8.76367.h5,224.916,7.168,192,1.362,12.037,1.412,"[0.015829122, 0.001732815, 1.7899999999999998e-05, 0.00022622900000000002, 0.0007767160000000001, 0.000353656, 6.73e-05, 0.40744445]",,
B308,./cand_tstart_59878.863388592596_tcand_8.6950100_dm_235.30500_snr_11.92700.h5,235.305,9.984,280,1.378,14.444,1.696,"[9.37e-05, 0.000294441, 2.86e-07, 3.87e-05, 7.840000000000001e-05, 6.92e-07, 2.0399999999999997e-07, 1.21e-06]",,
B309,./cand_tstart_59878.864777481482_tcand_18.3942000_dm_224.91600_snr_8.30707.h5,224.916,8.96,228,1.402,9.749,1.158,"[0.1747236, 0.025111832, 0.00013167299999999998, 8.590000000000001e-09, 7.25e-07, 1.4099999999999999e-08, 6.15e-05, 7.6e-10]",,
B310,./cand_tstart_59878.864777481482_tcand_21.9572000_dm_222.89300_snr_16.28070.h5,222.893,5.728,208,1.33,27.067,2.949,"[0.70017105, 0.9998599, 0.34084580000000003, 0.04878155, 0.005021874, 0.9982161, 0.3397639, 0.75611436]",,
B311,./cand_tstart_59879.824606481481_tcand_29.0873000_dm_231.09300_snr_20.59350.h5,231.093,13.056,132,1.674,18.5,3.999,"[0.028395387999999997, 0.17264256, 0.000523493, 0.06242651, 2.6600000000000003e-09, 0.00031016700000000003, 0.000191133, 8.12e-07]",,
B312,./cand_tstart_59879.825995370367_tcand_110.7530000_dm_224.96600_snr_11.57080.h5,224.966,3.84,148,1.582,11.741,1.614,"[0.99999714, 0.9956014000000001, 1.0, 0.9996413000000001, 1.0, 0.9999998999999999, 0.021298481, 1.0]",,
